                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.37951,                0.28594,                 0.7898,                0.97666,                0.99123,                  0.995,                0.90123,                0.43463,                0.24592,                0.79015,             9.2804e-05,             9.2804e-05,             9.2804e-05
                     60,                0.35688,                0.27105,                0.77931,                 0.9807,                0.99159,                  0.995,                0.90414,                0.40865,                0.24355,                0.78837,             9.0695e-05,             9.0695e-05,             9.0695e-05
                     61,                0.37362,                0.29481,                 0.7823,                0.97895,                0.98985,                  0.995,                0.91891,                0.38078,                0.23131,                0.78531,             8.8587e-05,             8.8587e-05,             8.8587e-05
                     62,                0.35877,                0.28533,                0.78529,                0.97372,                0.99478,                  0.995,                0.90369,                0.41278,                0.23493,                0.78889,             8.6478e-05,             8.6478e-05,             8.6478e-05
                     63,                0.35951,                0.27747,                0.77903,                0.98314,                0.98798,                  0.995,                0.90565,                0.39827,                0.22982,                0.78725,             8.4369e-05,             8.4369e-05,             8.4369e-05
                     64,                0.36003,                0.26164,                0.76994,                0.97491,                0.99236,                  0.995,                0.89914,                0.41355,                0.23588,                0.78748,             8.2261e-05,             8.2261e-05,             8.2261e-05
                     65,                0.36397,                0.26934,                0.78027,                0.97367,                0.98999,                  0.995,                0.90595,                0.41132,                0.23277,                0.78866,             8.0152e-05,             8.0152e-05,             8.0152e-05
                     66,                 0.3522,                0.25945,                0.77028,                 0.9847,                0.99563,                  0.995,                0.90723,                0.41731,                0.23048,                  0.788,             7.8043e-05,             7.8043e-05,             7.8043e-05
                     67,                0.35337,                0.26655,                0.77818,                 0.9798,                0.99526,                  0.995,                 0.9071,                0.40686,                0.22862,                0.78531,             7.5935e-05,             7.5935e-05,             7.5935e-05
                     68,                0.33986,                0.25783,                0.78182,                0.98073,                0.99373,                  0.995,                0.91192,                0.40041,                0.23001,                  0.786,             7.3826e-05,             7.3826e-05,             7.3826e-05
                     69,                0.32751,                0.24837,                0.77854,                0.98026,                0.99375,                  0.995,                0.90672,                0.41198,                0.23194,                 0.7858,             7.1717e-05,             7.1717e-05,             7.1717e-05
                     70,                0.35484,                0.26224,                0.79464,                0.98302,                 0.9889,                  0.995,                0.90818,                0.38471,                 0.2288,                0.78333,             6.9608e-05,             6.9608e-05,             6.9608e-05
                     71,                0.33831,                0.25794,                 0.7772,                0.97866,                0.99499,                  0.995,                0.91522,                0.38955,                0.22662,                0.78485,               6.75e-05,               6.75e-05,               6.75e-05
                     72,                0.32926,                0.24069,                0.77903,                0.98104,                0.98814,                  0.995,                 0.9123,                0.39313,                0.22408,                0.78585,             6.5391e-05,             6.5391e-05,             6.5391e-05
                     73,                0.31941,                0.24967,                0.78351,                0.97924,                0.99308,                  0.995,                 0.9127,                0.38641,                0.21981,                0.78459,             6.3282e-05,             6.3282e-05,             6.3282e-05
                     74,                0.32398,                 0.2422,                0.78146,                0.97764,                0.99752,                  0.995,                0.90904,                0.40364,                0.22469,                0.78593,             6.1174e-05,             6.1174e-05,             6.1174e-05
                     75,                0.32582,                0.24523,                0.77758,                 0.9787,                0.99169,                  0.995,                0.90926,                0.39708,                0.22061,                0.78573,             5.9065e-05,             5.9065e-05,             5.9065e-05
                     76,                0.32191,                0.24666,                0.77142,                0.98285,                0.99234,                  0.995,                0.91364,                0.39811,                0.21862,                 0.7859,             5.6956e-05,             5.6956e-05,             5.6956e-05
